日期,時間,CO2,溫度,濕度
2026-09-18,11:57:50,484,24,43
2026-09-18,11:58:21,534,24,43
2026-09-18,11:58:51,460,24,43
2026-09-18,11:59:21,541,24,43
2026-09-18,11:59:51,550,24,42
2026-09-18,12:00:21,555,24,43
2026-09-18,12:00:51,552,24,46
2026-09-18,12:01:21,499,24,47
2026-09-18,12:01:51,561,24,47
2026-09-18,12:02:21,487,24,50
2026-09-18,12:02:51,542,24,51
2026-09-18,12:03:21,429,24,51
2026-09-18,12:03:51,308,24,50
2026-09-18,12:04:21,469,24,49
2026-09-18,12:04:51,548,24,49
2026-09-18,12:05:21,560,24,48
2026-09-18,12:05:51,503,24,48
2026-09-18,12:06:22,513,24,47
2026-09-18,12:06:52,522,24,47
2026-09-18,13:42:00,653,29,73
2026-09-18,13:42:31,731,30,73
2026-09-18,13:43:01,735,30,71
2026-09-18,13:43:31,695,30,70
2026-09-18,13:44:01,692,30,71
2026-09-18,13:44:31,694,30,69
2026-09-18,13:45:01,945,31,70
2026-09-18,13:45:31,1168,31,70
2026-09-18,13:46:01,1335,31,69
2026-09-18,13:46:31,1146,31,69
2026-09-18,13:47:01,1133,31,68
2026-09-18,13:47:31,904,31,67
2026-09-18,13:48:01,764,31,67
2026-09-18,13:48:31,979,31,68
2026-09-18,13:49:01,1187,31,67
2026-09-18,13:49:31,936,31,67
2026-09-18,13:50:01,847,31,67
2026-09-18,13:50:31,754,31,67
2026-09-18,13:51:01,1111,31,67
2026-09-18,13:51:31,898,31,66
2026-09-18,13:52:01,618,31,66
2026-09-18,13:52:31,550,31,66
2026-09-18,13:53:01,556,31,66
2026-09-18,13:53:31,563,31,66
2026-09-18,13:54:02,562,31,65
2026-09-18,13:54:32,568,32,66
2026-09-18,13:55:02,577,31,65
2026-09-18,13:55:32,711,32,66
2026-09-18,13:56:02,661,32,65
2026-09-18,13:56:32,573,32,65
2026-09-18,13:57:02,573,32,65
2026-09-18,13:57:32,620,32,65
2026-09-18,13:58:02,678,32,65
2026-09-18,13:58:32,643,32,65
2026-09-18,13:59:02,573,32,65
2026-09-18,13:59:32,567,32,65
2026-09-18,14:00:02,561,32,65
2026-09-18,14:00:32,561,32,65
2026-09-18,14:01:02,568,32,65
2026-09-18,14:01:32,566,32,65
2026-09-18,14:02:02,553,32,65
2026-09-18,14:02:32,566,32,65
2026-09-18,14:03:03,633,32,65
2026-09-18,14:03:33,632,32,65
2026-09-18,14:04:03,618,32,65
2026-09-18,14:04:33,592,32,65
2026-09-18,14:05:03,580,32,65
2026-09-18,14:05:33,571,32,65
2026-09-18,14:06:03,556,32,65
2026-09-18,14:06:33,550,32,65
2026-09-18,14:07:03,549,32,65
2026-09-18,14:07:33,551,32,65
2026-09-20,8:25:20,582,29,70
2026-09-20,8:25:50,560,29,69
2026-09-20,8:26:20,553,29,68
2026-09-20,8:26:50,551,29,67
2026-09-20,8:27:20,548,30,66
2026-09-20,8:27:50,547,30,66
2026-09-20,8:28:20,596,30,66
2026-09-20,8:28:51,642,30,66
2026-09-20,8:29:21,563,30,66
2026-09-20,8:29:51,695,30,65
2026-09-20,8:30:21,622,30,65
2026-09-20,8:30:51,738,30,65
2026-09-20,8:31:21,820,30,65
2026-09-20,8:31:51,1039,30,66
2026-09-20,8:32:21,828,30,65
2026-09-20,8:32:51,768,30,65
2026-09-20,8:33:21,889,31,65
2026-09-20,8:33:51,689,31,64
2026-09-20,8:34:21,602,31,64
2026-09-20,8:34:51,581,30,64
2026-09-20,8:35:21,571,30,64
2026-09-20,8:35:51,566,30,64
2026-09-20,8:36:21,565,30,64
2026-09-21,8:18:00,878,30,70
2026-09-21,8:18:30,902,30,68
2026-09-21,8:19:00,896,30,68
2026-09-21,8:19:30,812,30,67
2026-09-21,8:20:00,759,30,67
2026-09-21,8:20:31,785,30,67
2026-09-21,8:21:01,799,30,66
2026-09-21,8:21:31,792,30,66
2026-09-21,8:22:01,775,31,66
2026-09-21,8:22:31,751,31,66
2026-09-21,8:23:01,740,31,66
2026-09-21,8:23:31,736,31,66
2026-09-21,8:24:01,737,31,66
2026-09-21,8:24:31,738,31,66
2026-09-21,8:25:01,822,31,66
2026-09-21,8:25:31,805,31,65
2026-09-21,8:26:01,806,31,66
2026-09-21,8:26:31,798,31,65
2026-09-21,8:27:01,759,31,65
2026-09-21,8:27:31,761,31,65
2026-09-21,8:28:01,781,31,65
2026-09-21,8:28:31,785,31,65
2026-09-21,8:29:01,774,31,66
2026-09-21,8:29:31,855,31,65
