sensor,session,start,end,co2_mean,co2_max,pct_over_1000,pct_over_1500,pct_over_2000
Wa1,09-21 AM,08:18,11:25,1043.8,2043,31.9,24.9,8.6
Wa1,09-21 PM,13:35,15:06,2323.2,2823,100.0,100.0,99.4
Wa1,09-22 AM,08:28,09:39,585.3,1189,0.7,0.0,0.0
Wa1,09-22 PM,13:15,14:12,1134.2,1786,61.1,23.9,0.0
Wa1,09-23 AM,08:24,09:24,649.7,733,0.0,0.0,0.0
Wa1,09-23 PM,13:09,14:17,1415.4,1747,100.0,41.6,0.0
Wa2,09-21 AM,10:04,10:07,508.6,533,0.0,0.0,0.0
Wa2,09-21 PM,13:34,15:25,2343.1,2705,100.0,100.0,100.0
Wa2,09-22 AM,08:27,09:39,673.8,797,0.0,0.0,0.0
Wa2,09-22 PM,13:14,14:12,1211.8,1888,65.5,29.3,0.0
Wa2,09-23 AM,08:23,09:25,729.0,1050,0.8,0.0,0.0
Wa2,09-23 PM,13:09,14:17,1412.0,1737,97.8,42.3,0.0
