outcome,unit,exposure,n,groups,beta,se,ci_low,ci_high,p,aic,delta_aic_vs_base,lr_p,r2_marginal,r2_conditional,loso_rmse,loso_rmse_base,cv5_rmse,cv5_r2,delta_aic_vs_best
Stroop 平均反應時間 (ms),人次,Wa1,44,12,-0.3417,1.4865,-3.2552,2.5719,0.8182,524.0069,1.9472,0.8183,0.0091,0.5087,106.9175,106.2014,84.3223,0.2552,0.0
Stroop 平均反應時間 (ms),人次,Wa2,44,12,-0.2904,1.5365,-3.3019,2.7211,0.8501,524.024,1.9643,0.8502,0.0088,0.5084,106.9315,106.2014,84.3441,0.2548,0.0171
Stroop 平均反應時間 (ms),人次,Avg,44,12,-0.3172,1.5116,-3.2798,2.6454,0.8338,524.0157,1.956,0.8339,0.0089,0.5086,106.9257,106.2014,84.3332,0.255,0.0088
Stroop 干擾分數 (ms),人次,Wa1,44,12,1.3508,1.7602,-2.0992,4.8007,0.4428,524.6668,1.3845,0.4327,0.0165,0.0165,90.5404,88.3463,90.7345,-0.1514,0.1112
Stroop 干擾分數 (ms),人次,Wa2,44,12,1.5096,1.8068,-2.0316,5.0508,0.4034,524.5557,1.2734,0.394,0.019,0.019,89.5702,88.3463,90.4693,-0.1447,0.0
Stroop 干擾分數 (ms),人次,Avg,44,12,1.4291,1.7838,-2.0671,4.9253,0.423,524.6128,1.3305,0.4132,0.0177,0.0177,89.4142,88.3463,90.3148,-0.1407,0.0571
Stroop 正確率,人次,Wa1,44,12,-0.0003,0.0008,-0.0019,0.0014,0.7647,-141.6847,1.9108,0.7652,0.0127,0.2056,0.0478,0.0473,0.0481,-0.1829,0.0033
Stroop 正確率,人次,Wa2,44,12,-0.0003,0.0009,-0.002,0.0014,0.7605,-141.688,1.9075,0.761,0.0128,0.2062,0.0478,0.0473,0.0481,-0.1834,0.0
Stroop 正確率,人次,Avg,44,12,-0.0003,0.0009,-0.0019,0.0014,0.7626,-141.6863,1.9092,0.7631,0.0127,0.2059,0.0478,0.0473,0.0481,-0.1831,0.0016
Stroop 平均反應時間（+溫濕度）,人次,Wa1,44,12,8.1032,5.2673,-2.2204,18.4269,0.1239,524.7616,-0.3268,0.1272,0.0459,0.5299,,,,,0.0
Stroop 平均反應時間（+溫濕度）,人次,Wa2,44,12,2.5039,3.2019,-3.7717,8.7796,0.4342,526.3828,1.3938,0.4362,0.0323,0.5472,,,,,1.6212
Stroop 平均反應時間（+溫濕度）,人次,Avg,44,12,4.6828,4.0009,-3.1588,12.5245,0.2418,525.6554,0.6527,0.2457,0.0384,0.5443,,,,,0.8938
Stroop 平均反應時間（+睡眠）,人次,Wa1,35,11,-0.6524,1.7626,-4.1069,2.8022,0.7113,427.9679,1.8637,0.712,0.0628,0.5099,,,,,0.0
